                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 1.4624,                0.84516,                 1.1485,                0.55051,                0.57786,                0.54747,                0.29149,                 1.3879,                0.85151,                 1.0648,             0.00082513,             0.00082513,             0.00082513
                    106,                 1.4373,                0.83162,                 1.1409,                0.62282,                0.57387,                0.56669,                 0.3008,                 1.3883,                0.78301,                 1.0656,               0.000821,               0.000821,               0.000821
                    107,                 1.4295,                 0.8225,                 1.1284,                0.59173,                0.53834,                0.52609,                0.27989,                 1.4089,                0.86817,                  1.065,             0.00081688,             0.00081688,             0.00081688
                    108,                 1.4363,                0.81638,                 1.1289,                0.58705,                0.55895,                0.55946,                0.29772,                 1.3961,                0.83431,                 1.0669,             0.00081275,             0.00081275,             0.00081275
                    109,                 1.4585,                0.83458,                 1.1453,                0.65059,                0.52473,                0.55025,                0.29187,                 1.3958,                0.84246,                 1.0655,             0.00080863,             0.00080863,             0.00080863
                    110,                  1.464,                0.83974,                  1.154,                0.59968,                0.57453,                0.56615,                0.30238,                   1.39,                0.79127,                 1.0629,              0.0008045,              0.0008045,              0.0008045
                    111,                 1.4385,                0.82659,                  1.134,                0.63551,                0.55878,                0.56379,                0.30154,                 1.3952,                0.79944,                 1.0664,             0.00080038,             0.00080038,             0.00080038
                    112,                 1.4328,                0.82705,                   1.14,                0.61697,                0.56379,                0.57582,                0.31275,                 1.3805,                0.80957,                 1.0587,             0.00079625,             0.00079625,             0.00079625
                    113,                 1.4269,                0.80745,                 1.1353,                0.56974,                0.58568,                0.55797,                0.30222,                 1.3753,                0.79762,                 1.0602,             0.00079213,             0.00079213,             0.00079213
                    114,                 1.4246,                0.80676,                 1.1326,                 0.6449,                0.55221,                0.58031,                0.30863,                 1.3865,                0.79751,                 1.0655,               0.000788,               0.000788,               0.000788
                    115,                 1.4623,                0.84293,                 1.1469,                0.61698,                0.56534,                0.57545,                0.31315,                 1.3749,                0.76995,                   1.06,             0.00078387,             0.00078387,             0.00078387
                    116,                 1.4354,                0.80527,                 1.1359,                0.62989,                0.55405,                0.56992,                0.30829,                 1.3829,                0.79084,                 1.0606,             0.00077975,             0.00077975,             0.00077975
                    117,                 1.4328,                   0.82,                 1.1375,                0.61597,                0.55303,                0.55309,                0.29744,                 1.3922,                0.80329,                 1.0601,             0.00077563,             0.00077563,             0.00077563
                    118,                 1.4227,                0.80565,                 1.1352,                0.60305,                0.58132,                0.57084,                0.30898,                 1.3688,                0.78352,                 1.0577,              0.0007715,              0.0007715,              0.0007715
                    119,                 1.4287,                 0.8071,                 1.1325,                0.62187,                0.55617,                0.56398,                0.30229,                 1.3783,                0.78054,                 1.0629,             0.00076738,             0.00076738,             0.00076738
                    120,                 1.4269,                0.80469,                 1.1293,                0.61827,                0.56723,                0.55247,                0.29614,                 1.3783,                0.79204,                 1.0621,             0.00076325,             0.00076325,             0.00076325
                    121,                 1.4204,                0.80681,                  1.127,                0.62924,                0.56083,                0.56906,                 0.3047,                 1.3742,                0.77246,                 1.0624,             0.00075912,             0.00075912,             0.00075912
                    122,                  1.431,                0.82038,                  1.144,                0.63118,                0.56652,                0.57282,                 0.3095,                 1.3731,                0.76616,                 1.0591,               0.000755,               0.000755,               0.000755
                    123,                  1.415,                0.80136,                 1.1233,                0.59132,                0.59127,                0.56095,                0.30378,                 1.3802,                0.77824,                 1.0619,             0.00075088,             0.00075088,             0.00075088
                    124,                 1.4115,                0.79443,                 1.1353,                0.59065,                0.55954,                0.55307,                0.29682,                  1.376,                0.85504,                 1.0639,             0.00074675,             0.00074675,             0.00074675
                    125,                  1.402,                 0.7919,                 1.1276,                0.64694,                0.56005,                0.56451,                0.30316,                 1.3652,                0.77346,                 1.0595,             0.00074263,             0.00074263,             0.00074263
                    126,                 1.4044,                0.79373,                 1.1275,                0.60878,                0.56252,                0.54662,                0.29774,                 1.3644,                0.76895,                 1.0601,              0.0007385,              0.0007385,              0.0007385
                    127,                 1.4138,                0.77839,                 1.1167,                0.61807,                0.56789,                0.56333,                0.30341,                 1.3861,                0.77459,                 1.0626,             0.00073437,             0.00073437,             0.00073437
                    128,                 1.4051,                0.77249,                 1.1199,                0.62735,                0.55273,                0.56009,                0.30128,                 1.3694,                0.77187,                 1.0644,             0.00073025,             0.00073025,             0.00073025
                    129,                 1.4076,                0.78827,                 1.1273,                0.59626,                0.57871,                0.56339,                0.30494,                 1.3606,                 0.7464,                  1.059,             0.00072612,             0.00072612,             0.00072612
                    130,                 1.3877,                0.78215,                 1.1251,                0.62807,                0.57473,                 0.5673,                 0.3069,                 1.3686,                0.76384,                 1.0581,               0.000722,               0.000722,               0.000722
                    131,                 1.4142,                0.78958,                 1.1287,                0.58285,                0.58459,                0.55465,                0.29902,                 1.3722,                0.80851,                 1.0619,             0.00071788,             0.00071788,             0.00071788
                    132,                 1.3991,                0.77873,                 1.1201,                0.64053,                0.57949,                0.58181,                0.31258,                  1.367,                0.75893,                 1.0626,             0.00071375,             0.00071375,             0.00071375
                    133,                 1.4195,                0.80994,                 1.1411,                0.61604,                0.57281,                0.57087,                0.30545,                 1.3744,                0.79233,                 1.0625,             0.00070962,             0.00070962,             0.00070962
                    134,                 1.4094,                0.77403,                 1.1159,                0.65334,                0.58897,                0.58313,                0.31306,                 1.3716,                0.75612,                 1.0593,              0.0007055,              0.0007055,              0.0007055
                    135,                 1.3962,                0.78506,                 1.1292,                 0.6241,                0.57496,                0.57448,                 0.3047,                 1.3791,                0.79585,                 1.0615,             0.00070137,             0.00070137,             0.00070137
                    136,                 1.4005,                0.77261,                 1.1192,                 0.6347,                0.59004,                0.58076,                0.31348,                 1.3609,                0.74927,                 1.0619,             0.00069725,             0.00069725,             0.00069725
                    137,                 1.4049,                0.77417,                 1.1219,                   0.63,                0.57653,                0.56828,                0.30525,                 1.3729,                 0.8157,                 1.0643,             0.00069313,             0.00069313,             0.00069313
                    138,                   1.41,                0.78171,                 1.1201,                0.62802,                0.59035,                0.58034,                0.31191,                 1.3549,                0.75225,                 1.0554,               0.000689,               0.000689,               0.000689
                    139,                 1.3786,                0.75124,                 1.1072,                0.64957,                0.57183,                0.56903,                0.30792,                 1.3607,                0.75801,                 1.0601,             0.00068488,             0.00068488,             0.00068488
                    140,                 1.3859,                0.76381,                 1.1136,                0.61522,                0.59223,                0.57425,                0.31155,                 1.3603,                0.75132,                 1.0588,             0.00068075,             0.00068075,             0.00068075
                    141,                 1.4007,                0.78049,                 1.1172,                0.63077,                0.57076,                0.56336,                0.30225,                 1.3534,                0.77458,                 1.0627,             0.00067663,             0.00067663,             0.00067663
                    142,                 1.3881,                0.77186,                 1.1217,                0.64032,                0.57984,                0.57987,                0.31421,                 1.3687,                0.74408,                 1.0603,              0.0006725,              0.0006725,              0.0006725
                    143,                 1.3803,                0.77417,                 1.1157,                0.66108,                0.58124,                0.57855,                0.30972,                 1.3621,                0.74981,                 1.0629,             0.00066838,             0.00066838,             0.00066838
                    144,                 1.3835,                0.75861,                 1.1067,                0.62647,                 0.5867,                0.57404,                  0.309,                 1.3512,                 0.7684,                 1.0603,             0.00066425,             0.00066425,             0.00066425
                    145,                 1.3804,                0.76149,                 1.1088,                0.63868,                0.57046,                0.56934,                0.30758,                 1.3572,                0.76047,                 1.0606,             0.00066013,             0.00066013,             0.00066013
                    146,                 1.3748,                0.75875,                 1.1104,                0.65344,                0.57496,                 0.5842,                0.31712,                 1.3564,                0.75071,                 1.0603,               0.000656,               0.000656,               0.000656
                    147,                 1.3703,                0.74576,                 1.1026,                0.64862,                0.57558,                0.57512,                0.31276,                 1.3518,                0.76031,                 1.0608,             0.00065188,             0.00065188,             0.00065188
                    148,                 1.3629,                0.74119,                 1.1143,                0.65566,                0.58062,                0.57831,                0.31209,                 1.3632,                0.74052,                 1.0591,             0.00064775,             0.00064775,             0.00064775
                    149,                 1.3795,                0.75052,                 1.1052,                 0.6389,                0.59057,                0.57522,                 0.3153,                 1.3469,                0.74772,                  1.054,             0.00064362,             0.00064362,             0.00064362
                    150,                 1.3837,                0.75186,                 1.1079,                 0.6551,                0.56049,                0.58798,                0.31798,                 1.3572,                0.74149,                 1.0576,              0.0006395,              0.0006395,              0.0006395
                    151,                 1.3509,                0.73485,                 1.1022,                0.65693,                 0.5766,                0.58604,                0.31563,                 1.3389,                0.73117,                 1.0556,             0.00063538,             0.00063538,             0.00063538
                    152,                 1.3517,                0.74331,                 1.1068,                0.64271,                0.55548,                0.56929,                0.30944,                 1.3559,                0.75613,                 1.0607,             0.00063125,             0.00063125,             0.00063125
                    153,                 1.3651,                0.74464,                 1.0991,                0.64486,                0.58354,                0.58504,                0.31563,                 1.3524,                0.74689,                 1.0581,             0.00062713,             0.00062713,             0.00062713
                    154,                 1.3613,                0.74815,                 1.1127,                0.67169,                 0.5577,                0.58227,                0.31535,                 1.3537,                0.75109,                 1.0597,               0.000623,               0.000623,               0.000623
                    155,                 1.3608,                0.73805,                 1.1048,                0.64185,                0.58033,                0.58112,                0.31722,                  1.342,                0.73172,                 1.0616,             0.00061887,             0.00061887,             0.00061887
                    156,                  1.365,                0.73565,                 1.0963,                0.67851,                0.56357,                0.58281,                0.31511,                 1.3509,                0.75859,                 1.0587,             0.00061475,             0.00061475,             0.00061475
                    157,                 1.3602,                0.73154,                 1.1049,                0.63253,                 0.5887,                 0.5799,                0.31588,                 1.3485,                0.73286,                 1.0583,             0.00061062,             0.00061062,             0.00061062
                    158,                 1.3653,                0.73371,                 1.1061,                0.68298,                0.56402,                0.58024,                0.31416,                 1.3506,                0.73586,                 1.0619,              0.0006065,              0.0006065,              0.0006065
                    159,                 1.3489,                0.74943,                 1.1136,                 0.6577,                0.58882,                0.59451,                0.32307,                 1.3437,                0.72391,                 1.0587,             0.00060238,             0.00060238,             0.00060238
                    160,                 1.3704,                0.73911,                 1.1047,                0.63477,                0.58323,                0.56783,                0.31287,                 1.3396,                0.75969,                 1.0569,             0.00059825,             0.00059825,             0.00059825
                    161,                 1.3446,                0.71916,                 1.0914,                0.63117,                0.59425,                0.58238,                0.31915,                 1.3433,                0.75127,                 1.0591,             0.00059413,             0.00059413,             0.00059413
                    162,                 1.3645,                0.74378,                 1.1087,                0.64039,                0.59151,                0.57597,                  0.314,                 1.3409,                0.73847,                 1.0633,                0.00059,                0.00059,                0.00059
                    163,                 1.3523,                0.73013,                 1.1056,                0.64093,                0.58237,                0.57074,                0.31315,                 1.3368,                0.73304,                 1.0597,             0.00058588,             0.00058588,             0.00058588
                    164,                 1.3567,                0.73507,                 1.0953,                0.68151,                0.57328,                0.58697,                0.31612,                 1.3404,                 0.7233,                 1.0581,             0.00058175,             0.00058175,             0.00058175
                    165,                 1.3521,                0.72404,                 1.1003,                0.63728,                0.58812,                0.57524,                0.31355,                  1.337,                0.72427,                 1.0594,             0.00057763,             0.00057763,             0.00057763
                    166,                 1.3535,                0.72771,                  1.096,                0.62917,                0.58861,                0.57943,                0.31754,                 1.3454,                0.72497,                 1.0617,              0.0005735,              0.0005735,              0.0005735
                    167,                  1.334,                0.71948,                 1.0948,                0.61624,                0.58989,                0.57594,                0.31255,                 1.3386,                0.74128,                 1.0606,             0.00056938,             0.00056938,             0.00056938
                    168,                 1.3247,                0.72973,                 1.1077,                0.64617,                 0.5698,                0.58107,                0.31817,                 1.3443,                0.71757,                 1.0606,             0.00056525,             0.00056525,             0.00056525
                    169,                 1.3461,                0.71631,                 1.0849,                0.67223,                0.56342,                0.59112,                0.32058,                 1.3589,                0.72485,                 1.0642,             0.00056112,             0.00056112,             0.00056112
                    170,                 1.3318,                0.69645,                 1.0807,                0.64442,                0.58345,                0.57805,                0.31565,                  1.351,                0.73506,                  1.063,               0.000557,               0.000557,               0.000557
                    171,                 1.3355,                0.71374,                 1.0857,                0.67807,                0.56141,                0.58526,                0.31979,                 1.3424,                0.72279,                 1.0619,             0.00055287,             0.00055287,             0.00055287
                    172,                 1.3297,                0.71078,                  1.091,                0.65627,                0.56844,                0.58197,                 0.3189,                 1.3477,                0.73491,                 1.0623,             0.00054875,             0.00054875,             0.00054875
                    173,                 1.3229,                0.70448,                  1.083,                 0.6667,                0.56446,                0.58102,                0.31863,                 1.3457,                0.73183,                 1.0633,             0.00054463,             0.00054463,             0.00054463
                    174,                 1.3299,                0.71736,                 1.0914,                0.64589,                  0.574,                0.58317,                0.31985,                 1.3456,                0.72838,                 1.0626,              0.0005405,              0.0005405,              0.0005405
                    175,                 1.3328,                0.70567,                 1.0826,                0.65381,                0.58924,                0.58165,                0.31777,                 1.3469,                0.72162,                 1.0673,             0.00053638,             0.00053638,             0.00053638
                    176,                 1.3252,                0.71088,                 1.0896,                0.64894,                0.57212,                0.57782,                0.31873,                 1.3424,                0.73052,                 1.0632,             0.00053225,             0.00053225,             0.00053225
                    177,                 1.3374,                0.71872,                 1.0957,                0.62402,                 0.5932,                0.56987,                0.31238,                 1.3497,                0.73064,                 1.0652,             0.00052812,             0.00052812,             0.00052812
                    178,                 1.3372,                0.71927,                 1.0904,                0.63617,                0.58716,                0.57572,                0.31312,                 1.3515,                0.73666,                 1.0636,               0.000524,               0.000524,               0.000524
                    179,                 1.3424,                0.70893,                 1.0878,                0.63702,                 0.5767,                0.57229,                0.31328,                 1.3565,                0.73762,                 1.0678,             0.00051988,             0.00051988,             0.00051988
                    180,                 1.3094,                0.68322,                 1.0781,                0.64168,                0.59797,                0.59046,                0.31969,                 1.3385,                0.72414,                  1.062,             0.00051575,             0.00051575,             0.00051575
                    181,                 1.3342,                0.70517,                    1.1,                0.63798,                0.57526,                0.57366,                0.31119,                 1.3462,                0.73834,                  1.062,             0.00051163,             0.00051163,             0.00051163
                    182,                 1.3196,                0.69487,                 1.0827,                0.64927,                0.57823,                0.57764,                0.31325,                 1.3418,                0.72936,                  1.064,              0.0005075,              0.0005075,              0.0005075
                    183,                 1.3192,                0.70379,                 1.0928,                0.63245,                0.57157,                0.56307,                 0.3106,                 1.3344,                0.73534,                 1.0635,             0.00050337,             0.00050337,             0.00050337
                    184,                 1.3111,                0.70012,                 1.0888,                 0.6578,                0.56364,                0.57346,                0.31107,                 1.3434,                0.73679,                 1.0612,             0.00049925,             0.00049925,             0.00049925
                    185,                 1.3129,                0.68845,                 1.0813,                0.66244,                0.58465,                 0.5827,                0.31398,                 1.3398,                0.73073,                 1.0628,             0.00049513,             0.00049513,             0.00049513
                    186,                 1.3231,                0.70022,                 1.0836,                0.63495,                0.58109,                0.57984,                0.31528,                 1.3323,                0.73079,                 1.0646,               0.000491,               0.000491,               0.000491
                    187,                 1.3172,                0.68987,                 1.0746,                0.63938,                0.56388,                0.57119,                0.31135,                 1.3258,                0.72893,                  1.062,             0.00048687,             0.00048687,             0.00048687
                    188,                 1.3228,                0.69785,                 1.0823,                0.63344,                0.58611,                0.58348,                0.31775,                 1.3281,                0.71444,                 1.0615,             0.00048275,             0.00048275,             0.00048275
                    189,                 1.3186,                0.68628,                 1.0844,                0.64391,                 0.5801,                0.58382,                0.31837,                 1.3231,                0.71452,                 1.0622,             0.00047863,             0.00047863,             0.00047863
                    190,                 1.3042,                0.69648,                 1.0852,                 0.6254,                0.57399,                0.57396,                0.31326,                 1.3373,                 0.7396,                 1.0626,              0.0004745,              0.0004745,              0.0004745
                    191,                 1.3153,                0.69022,                 1.0808,                0.64752,                0.55541,                0.56793,                0.31166,                 1.3377,                0.73682,                 1.0628,             0.00047038,             0.00047038,             0.00047038
                    192,                 1.2992,                0.68618,                 1.0811,                0.64746,                 0.5728,                0.57685,                0.31317,                 1.3495,                0.73079,                 1.0681,             0.00046625,             0.00046625,             0.00046625
                    193,                 1.2973,                0.69088,                 1.0859,                0.64639,                0.57634,                0.57756,                 0.3123,                 1.3552,                0.73836,                  1.068,             0.00046212,             0.00046212,             0.00046212
                    194,                 1.2959,                0.67724,                 1.0705,                0.60876,                0.59681,                0.57046,                0.31012,                   1.36,                0.72982,                 1.0701,               0.000458,               0.000458,               0.000458
                    195,                 1.2892,                0.69103,                 1.0773,                0.61297,                0.59835,                0.57521,                0.31497,                 1.3418,                0.72391,                 1.0673,             0.00045388,             0.00045388,             0.00045388
                    196,                 1.2997,                0.68183,                 1.0739,                0.64083,                0.59509,                 0.5848,                0.31802,                  1.345,                 0.7193,                 1.0694,             0.00044975,             0.00044975,             0.00044975
                    197,                  1.297,                0.66759,                 1.0706,                0.65584,                 0.5627,                0.57569,                0.31701,                 1.3376,                0.72769,                 1.0696,             0.00044563,             0.00044563,             0.00044563
                    198,                 1.3089,                0.68777,                  1.084,                0.64035,                0.59271,                0.57829,                0.31447,                 1.3454,                 0.7258,                 1.0662,              0.0004415,              0.0004415,              0.0004415
                    199,                 1.2858,                0.67527,                 1.0703,                 0.6513,                0.56885,                0.57384,                0.31606,                 1.3476,                0.73405,                  1.068,             0.00043738,             0.00043738,             0.00043738
                    200,                 1.2742,                0.67056,                 1.0695,                0.64258,                0.58288,                0.57697,                0.31792,                 1.3398,                0.71335,                 1.0656,             0.00043325,             0.00043325,             0.00043325
                    201,                 1.2962,                0.66985,                  1.071,                0.63654,                0.57858,                0.57993,                 0.3152,                 1.3436,                0.72333,                 1.0679,             0.00042912,             0.00042912,             0.00042912
                    202,                 1.2978,                0.66739,                 1.0717,                 0.6581,                 0.5838,                0.57993,                0.31575,                 1.3518,                0.72269,                 1.0706,               0.000425,               0.000425,               0.000425
                    203,                 1.2785,                0.65842,                 1.0614,                0.65759,                0.57182,                0.58328,                0.31802,                   1.34,                0.72079,                  1.066,             0.00042087,             0.00042087,             0.00042087
                    204,                 1.2916,                0.66852,                 1.0725,                0.64346,                0.58173,                0.57873,                0.31732,                 1.3483,                0.72482,                 1.0681,             0.00041675,             0.00041675,             0.00041675
                    205,                 1.2905,                0.67025,                 1.0682,                0.66134,                0.57259,                0.58183,                0.31752,                 1.3499,                0.72814,                 1.0675,             0.00041263,             0.00041263,             0.00041263
                    206,                 1.2793,                0.66386,                 1.0613,                0.63523,                 0.5996,                0.58716,                0.32159,                 1.3385,                 0.7223,                 1.0687,              0.0004085,              0.0004085,              0.0004085
                    207,                  1.296,                0.66879,                 1.0701,                0.65894,                0.57937,                0.58838,                0.32101,                 1.3377,                0.72029,                 1.0672,             0.00040438,             0.00040438,             0.00040438
                    208,                 1.2754,                 0.6621,                 1.0723,                 0.6571,                 0.5691,                0.58347,                0.32068,                 1.3294,                0.72361,                 1.0652,             0.00040025,             0.00040025,             0.00040025
                    209,                 1.2759,                0.66009,                 1.0624,                0.66176,                0.57579,                0.58274,                0.32051,                 1.3301,                0.72194,                 1.0648,             0.00039613,             0.00039613,             0.00039613
